Identifier,Method,Dispersion,Basis set,Number of primitive basis functions,RAM used (MB),Number of CPU cores used,Charge,Multiplicity,Error Code,wallclock time taken (seconds),Number of Optimisation Steps,Electronic Energy (Eh),Gibbs Free Energy (Eh),Enthalpy (Eh),Entropy (Eh),Spin Contaimination (<S**2>),Vibrational Frequency 6 (cm-1)
a77,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",210,3439,6,-1,1,,24,,-833.857242446638,,,,,
a26,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",143,2088,6,-1,1,,12,,-383.93221359961836,,,,,
a84,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",85,1907,6,-1,1,,3,,-193.38054878606567,,,,,
a12,rhf m06-2x,,"{'N': 'def2-svp', 'O': 'def2-svp'}",48,646,6,-1,1,,1,,-280.1144260871246,,,,,
a43,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",211,2917,6,0,1,,30,,-518.0562476163904,,,,,
a53,rhf m06-2x,,"{'N': 'def2-svp', 'H': 'def2-svp'}",27,460,6,0,1,,1,,-56.477963618920974,,,,,
a36,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",105,2873,6,-1,1,,7,,-232.84372555800462,,,,,
a67,rhf m06-2x,,{'Br': 'def2-svp'},30,245,6,-1,1,,1,,-2574.059485405151,,,,,
a47,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",97,2210,6,0,1,,5,,-247.99239536604347,,,,,
a16,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",117,3160,6,0,1,,8,,-287.4829482139473,,,,,
a22,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",63,1121,6,-1,1,,2,,-228.3364019735374,,,,,
a73,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",88,2223,6,0,1,,3,,-157.01663698751318,,,,,
a80,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",46,724,6,0,1,,2,,-148.56212076071208,,,,,
a63,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",80,1702,6,-1,1,,3,,-209.4255550969822,,,,,
a32,rhf m06-2x,,"{'H': 'def2-svp', 'O': 'def2-svp'}",29,413,6,-1,1,,1,,-150.83270556391167,,,,,
a4,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",72,1431,6,0,1,,3,,-477.7598949429031,,,,,
a57,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",159,2988,6,0,1,,18,,-292.0334109189453,,,,,
a46,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",119,3039,6,0,1,,8,,-287.26946396289856,,,,,
a17,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",156,2692,6,0,1,,15,,-382.0313091580434,,,,,
a23,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",53,797,6,-1,1,,2,,-264.2433375625515,,,,,
a72,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",66,1423,6,0,1,,2,,-117.74781276137723,,,,,
a81,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",155,2464,6,-1,1,,19,,-422.0211424369376,,,,,
a62,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",161,2913,6,0,1,,16,,-362.151937077033,,,,,
a33,rhf m06-2x,,"{'P': 'def2-svp', 'O': 'def2-svp'}",66,910,6,-3,1,,2,,-642.1462883788332,,,,,
a5,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",106,2688,6,0,1,,5,,-555.09556854439,,,,,
a56,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",71,1678,6,0,1,,3,,-134.9948912915022,,,,,
a76,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",161,3480,6,-1,1,,11,,-939.7516827867756,,,,,
a27,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",109,2544,6,-1,1,,6,,-306.62533524994103,,,,,
a85,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",95,2303,6,-1,1,,6,,-231.65837964403923,,,,,
a13,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",95,2308,6,0,1,,5,,-248.21478336364598,,,,,
a42,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",218,2882,6,0,1,,33,,-572.0944089962171,,,,,
a1,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",133,3273,6,0,1,,10,,-436.2465569200534,,,,,
a52,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",114,2769,6,0,1,,8,,-303.29711505237157,,,,,
a37,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp'}",33,481,6,0,1,,1,,-343.0044174520697,,,,,
a66,rhf m06-2x,,{'I': 'def2-svp'},23,272,6,-1,1,,1,,-297.81036541626116,,,,,
a18,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",202,3094,6,-1,1,,26,,-919.4776054349751,,,,,
a49,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",90,2159,6,0,1,,4,,-227.1444787730057,,,,,
a59,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",127,2180,6,0,1,,7,,-251.58971215185161,,,,,
a28,rhf m06-2x,,"{'C': 'def2-svp', 'O': 'def2-svp'}",48,644,6,-2,1,,1,,-263.69790874790647,,,,,
a79,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp'}",24,314,6,-1,1,,1,,-92.84107640129213,,,,,
a69,rhf m06-2x,,{'F': 'def2-svp'},12,225,6,-1,1,,1,,-99.79866770394219,,,,,
a38,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",121,2878,6,0,1,,7,,-324.1182832609342,,,,,
a29,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",67,1286,6,-1,1,,2,,-477.27155417264794,,,,,
a78,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",119,2925,6,-1,1,,9,,-344.9031490198847,,,,,
a68,rhf m06-2x,,{'Cl': 'def2-svp'},18,224,6,-1,1,,1,,-460.18794644099574,,,,,
a39,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",51,885,6,0,1,,2,,-132.59767682250612,,,,,
a19,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",76,1278,6,-1,1,,3,,-643.2307624281523,,,,,
a48,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",80,1699,6,0,1,,3,,-225.96598828756856,,,,,
a58,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",115,3202,6,0,1,,5,,-213.51527541463415,,,,,
a88,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",73,1554,6,-1,1,,3,,-192.39634562266698,,,,,
a8,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",81,1410,6,-1,1,,3,,-663.4062425726175,,,,,
a9,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",44,796,6,0,1,,1,,-115.5757333825016,,,,,
a89,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",143,2184,6,-1,1,,11,,-346.86514167691723,,,,,
a14,rhf m06-2x,,"{'H': 'def2-svp', 'N': 'def2-svp', 'O': 'def2-svp', 'P': 'def2-svp', 'C': 'def2-svp'}",228,3672,6,0,1,,38,,-819.6388341393367,,,,,
a45,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",309,3954,6,0,1,,75,,-1035.37715247477,,,,,
a82,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",187,3002,6,-1,1,,21,,-573.7369079207984,,,,,
a71,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",102,2440,6,0,1,,3,,-231.97086106742654,,,,,
a20,rhf m06-2x,,"{'C': 'def2-svp', 'Se': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",96,1845,6,0,1,,4,,-2556.072095825647,,,,,
a30,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",51,882,6,-1,1,,2,,-153.12783338579928,,,,,
a61,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",282,3914,6,0,1,,61,,-653.039394168373,,,,,
a55,rhf m06-2x,,{'N': 'def2-svp'},24,315,6,0,1,,1,,-109.40227278906649,,,,,
a6,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",66,1446,6,0,1,,3,,-154.82702999923077,,,,,
a86,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",51,862,6,-1,1,,2,,-153.12785260004026,,,,,
a24,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",115,2589,6,-1,1,,7,,-629.5583436886869,,,,,
a75,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",175,3258,6,-1,1,,21,,-461.5135386741143,,,,,
a41,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",303,3899,6,0,1,,77,,-748.8396258721978,,,,,
a10,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",100,2654,6,0,1,,5,,-232.16371897931216,,,,,
a51,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",165,2957,6,0,1,,19,,-578.5910120095862,,,,,
a2,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",138,3513,6,0,1,,10,,-420.34967089055476,,,,,
a65,rhf m06-2x,,"{'C': 'def2-svp', 'Si': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",210,2988,6,-1,1,,23,,-872.8186223552854,,,,,
a34,rhf m06-2x,,"{'H': 'def2-svp', 'O': 'def2-svp'}",17,277,6,-1,1,,1,,-75.7666702694454,,,,,
a87,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",143,2133,6,-1,1,,14,,-383.9325225512929,,,,,
a25,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",71,1091,6,-2,1,,3,,-642.7155764089163,,,,,
a74,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",89,1552,6,-1,1,,3,,-448.5183821685296,,,,,
a40,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",212,3484,6,0,1,,27,,-900.0909326973265,,,,,
a11,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",84,1791,6,0,1,,4,,-552.8467233095489,,,,,
a50,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",117,3353,6,0,1,,9,,-287.4492514649997,,,,,
a3,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",136,3613,6,0,1,,11,,-346.36405374347925,,,,,
a64,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",114,2774,6,-1,1,,6,,-286.7471161546241,,,,,
a35,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",39,652,6,-1,1,,2,,-115.0360857862406,,,,,
a15,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'O': 'def2-svp'}",84,1337,6,-1,1,,3,,-525.7676925613252,,,,,
a44,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",55,983,6,0,1,,2,,-382.2692520444825,,,,,
a83,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",143,2121,6,-1,1,,14,,-383.9358449537593,,,,,
a70,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",44,793,6,0,1,,1,,-78.47976546759796,,,,,
