Identifier,Method,Dispersion,Basis set,Number of primitive basis functions,RAM used (MB),Number of CPU cores used,Charge,Multiplicity,Error Code,wallclock time taken (seconds),Number of Optimisation Steps,Electronic Energy (Eh),Gibbs Free Energy (Eh),Enthalpy (Eh),Entropy (Eh),Spin Contaimination (<S**2>),Vibrational Frequency 6 (cm-1)
a77,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",215,3677,6,0,1,,27,,-834.3209268490956,,,,,
a26,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",148,2271,6,0,1,,14,,-384.4231353344791,,,,,
a84,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",90,2187,6,0,1,,4,,-193.86482737455776,,,,,
a12,rhf m06-2x,,"{'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",53,796,6,0,1,,2,,-280.5632645198396,,,,,
a43,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",216,3154,6,1,1,,35,,-518.4793291230176,,,,,
a53,rhf m06-2x,,"{'N': 'def2-svp', 'H': 'def2-svp'}",32,596,6,1,1,,1,,-56.932575808459255,,,,,
a36,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",110,3183,6,0,1,,8,,-233.38138520305145,,,,,
a67,rhf m06-2x,,"{'H': 'def2-svp', 'Br': 'def2-svp'}",35,345,6,0,1,,1,,-2574.485746687318,,,,,
a47,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",102,2443,6,1,1,,5,,-248.43626410137122,,,,,
a16,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",122,3433,6,1,1,,9,,-287.91697073792267,,,,,
a22,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",68,1329,6,0,1,,3,,-228.82199512884515,,,,,
a73,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",93,2465,6,1,1,,4,,-157.41701347679353,,,,,
a80,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",51,870,6,1,1,,2,,-149.0025195468745,,,,,
a63,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",85,1920,6,0,1,,4,,-209.92973572497144,,,,,
a32,rhf m06-2x,,"{'H': 'def2-svp', 'O': 'def2-svp'}",34,529,6,0,1,,1,,-151.36317959235996,,,,,
a4,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",77,1655,6,1,1,,3,,-478.1667094490283,,,,,
a57,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",164,3174,6,1,1,,19,,-292.492737812447,,,,,
a46,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",124,3311,6,1,1,,9,,-287.70055664685543,,,,,
a17,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",161,2818,6,1,1,,17,,-382.46752644446985,,,,,
a23,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",58,963,6,0,1,,2,,-264.7171199583701,,,,,
a72,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",71,1639,6,1,1,,3,,-118.128547839147,,,,,
a81,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",160,2612,6,0,1,,17,,-422.51274428423653,,,,,
a62,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",166,3065,6,1,1,,18,,-362.62915813700675,,,,,
a33,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",71,1108,6,-2,1,,3,,-642.7156155830293,,,,,
a5,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",111,2955,6,1,1,,8,,-555.4999055925846,,,,,
a56,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",76,1895,6,1,1,,4,,-135.4550871520529,,,,,
