Index,Identifier,AtomCentre,FunctionalGroup,Compound,ProtonatedCompound,pKa
1,a1,O,Nitro,C1=CC=CC=C([N+](=O)-[O-])1,C1=CC=CC=C([N+](=O)-[OH])1,-12.4
2,a2,O,CarboxylicAcid,C1=CC=CC=C(C(=O)O)1,C1=CC=CC=C(C(=[OH+])O)1,-7.8
3,a3,O,Ether,C1=CC=CC=C(OC)1,C1=CC=CC=C([OH+]C)1,-6.5
4,a4,S,Thiol,CSC,C[SH+]C,-5.4
5,a5,S,Thioether,C1CCCS1,C1CCC[SH+]1,-4.4
6,a6,O,Ether,COC,C[OH+]C,-3.8
7,a7,O,Carbonyl,CC(=O)C,CC(=[OH+])C,-3.1
8,a8,O,Sulphate,CS(=O)(=O)[O-],CS(=O)(=O)O,-2.6
9,a9,O,Alcohol,CO,C[OH2+],-2.2
10,a10,O,Ether,C1CCCO1,C1CCC[OH+]1,-2.1
11,a11,O,Sulphoxide,CS(=O)C,CS(=[OH+])C,-1.5
12,a12,O,Nitro,O=[N+]([O-])[O-],O=[N+]([O-])O,-1.4
13,a13,O,Carbonyl,N(C)(C)C=O,N(C)(C)C=[OH+],-1.1
14,a14,O,Phosphoryl,P(N(C)C)(N(C)C)(N(C)C)=O,P(N(C)C)(N(C)C)(N(C)C)=[OH+],-1
15,a15,O,CarboxylicAcid,C(F)(F)(F)C(=O)[O-],C(F)(F)(F)C(=O)O,-0.3
16,a16,O,Carbonyl,N(C)(C)C(C)=O,N(C)(C)C(C)=[OH+],-0.2
17,a17,O,Carbonyl,N(C)(C)C(=O)N(C)C,N(C)(C)C(=[OH+])N(C)C,-0.1
18,a18,O,Alcohol,C([N+](=O)[O-])1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C([O-])1,C([N+](=O)[O-])1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C(O)1,0.3
19,a19,O,Phosphoryl,P(O)(O)([O-])=O,P(O)(O)(O)=O,2.2
20,a20,O,Selenoxide,C[Se](=O)C,C[Se](=[OH+])C,2.6
21,a21,O,CarboxylicAcid,C1=CC=CC=C(C(=O)[O-])1,C1=CC=CC=C(C(=O)O)1,4.2
22,a22,O,CarboxylicAcid,CC(=O)[O-],CC(=O)O,4.8
23,a23,O,CarboxylicAcid,OC(=O)[O-],OC(=O)O,6.3
24,a24,S,Thiol,C1=CC=CC=C([S-])1,C1=CC=CC=C(S)1,6.5
25,a25,O,Phosphoryl,P(O)([O-])([O-])=O,P(O)(O)([O-])=O,7.1
26,a26,O,Alcohol,C=C([O-])C1=CC=CC=C1,C=C(O)C1=CC=CC=C1,8
27,a27,O,Alcohol,C1=CC=CC=C([O-])1,C1=CC=CC=C(O)1,10
28,a28,O,CarboxylicAcid,[O-]C(=O)[O-],OC(=O)[O-],10.3
29,a29,S,Thiol,CC[S-],CCS,10.5
30,a30,O,Alcohol,C=C[O-],C=CO,10.5
31,a31,O,Alcohol,C=C(C)[O-],C=C(C)O,10.9
32,a32,O,Peroxide,O[O-],OO,11.7
33,a33,O,Phosphoryl,P([O-])([O-])([O-])=O,P(O)([O-])([O-])=O,12.1
34,a34,O,Water,[OH-],O,14
35,a35,O,Alcohol,C[O-],CO,16
36,a36,O,Alcohol,C(C)(C)(C)[O-],C(C)(C)(C)O,20
37,a37,P,Phosphine,P([H])([H])[H],[P+]([H])([H])([H])[H],-14
38,a38,N,Nitrile,C1=CC=CC=C(C#N)1,C1=CC=CC=C(C#[NH+])1,-10.5
39,a39,N,Nitrile,CC#N,CC#[NH+],-10
40,a40,N,Amine,C([N+](=O)[O-])1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C(N)1,C([N+](=O)[O-])1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C([NH3+])1,-9.3
41,a41,N,Amine,N(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[NH+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,-5
42,a42,N,Imine,C1=CC=CC=C(N=NC2=CC=CC=C2)1,C1=CC=CC=C([NH+]=NC2=CC=CC=C2)1,-2.9
43,a43,N,Amine,N(C1=CC=CC=C1)C1=CC=CC=C1,[NH2+](C1=CC=CC=C1)C1=CC=CC=C1,0.8
44,a44,P,Phsophine,P(C)([H])[H],[P+](C)([H])([H])[H],2.7
45,a45,P,Phosphine,P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[PH+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,2.7
46,a46,N,Amine,C1=CC=CC=C(N)1,C1=CC=CC=C([NH3+])1,4.6
47,a47,N,Imine,C1=CC=CC=N1,C1=CC=CC=[NH+]1,5.2
48,a48,N,Imine,N1C=NC=C1,N1C=[NH+]C=C1,7
49,a49,N,Amine,N#CCCN,N#CCC[NH3+],7.9
50,a50,N,Amine,C1COCCN1,C1COCC[NH2+]1,8.5
51,a51,P,Phosphine,P(CC)(CC)CC,[PH+](CC)(CC)CC,9.1
52,a52,N,Imine,C1=CC(N)=CC=N1,C1=CC(N)=CC=[NH+]1,9.2
53,a53,N,Amine,N,[NH4+],9.2
54,a54,N,Amine,C1=CC=CC=C(CN)1,C1=CC=CC=C(C[NH3+])1,9.4
55,a55,N,Nitrile,N#N,N#[NH+],10
56,a56,N,Amine,CCN,CC[NH3+],10.6
57,a57,N,Amine,N(CC)(CC)CC,[NH+](CC)(CC)CC,10.7
58,a58,N,Amine,N(CC)CC,[NH2+](CC)CC,11
59,a59,N,Amine,C1CCCCN1,C1CCCC[NH2+]1,11.1
60,a60,N,Nitroso,[N-]=O,N=O,11.5
61,a61,N,Amine,C1(C=CC=C(N(C)C)2)=C2C(N(C)C)=CC=C1,C1(C=CC=C(N(C)C)2)=C2C([NH+](C)C)=CC=C1,12.3
62,a62,N,Imine,N(C)(C)C(=N)N(C)C,N(C)(C)C(=[NH2+])N(C)C,13.6
63,a63,N,Amine,C1=C[N-]C=C1,C1=CNC=C1,15
64,a64,N,Amine,C1=CC=CC=C([NH-])1,C1=CC=CC=C(N)1,28
65,a65,N,Amine,[N-]([Si](C)(C)C)[Si](C)(C)C,N([Si](C)(C)C)[Si](C)(C)C,30
66,a66,X,Halide,[I-],I,-10.3
67,a67,X,Halide,[Br-],Br,-9.8
68,a68,X,Halide,[Cl-],Cl,-7.3
69,a69,X,Halide,[F-],F,3.2
70,a70,C,Alkene,C=C,[C+]([H])([H])C,-24.8
71,a71,C,Alkene,C1=CC=CC=C1,C1=CC[C+]([H])C=C1,-24.3
72,a72,C,Alkene,CC=C,[C+]([H])(C)C,-18.5
73,a73,C,Alkene,CC(C)=C,[C+](C)(C)C,-12.5
74,a74,C,Alkane,[N+](=O)([O-])[CH-][N+](=O)[O-],[N+](=O)([O-])C[N+](=O)[O-],3.6
75,a75,C,Alkane,C1C(=O)[CH-]C(=O)CC(C)(C)1,C1C(=O)CC(=O)CC(C)(C)1,5.2
76,a76,C,Alkane,C(F)(F)(F)C(=O)[CH-]C(=O)C(F)(F)F,C(F)(F)(F)C(=O)CC(=O)C(F)(F)F,5.3
77,a77,C,Alkane,C(F)(F)(F)C(=O)[CH-]C(=O)C1=CC=CC=C1,C(F)(F)(F)C(=O)CC(=O)C1=CC=CC=C1,6.5
78,a78,C,Alkane,CC(=O)[CH-]C(=O)C,CC(=O)CC(=O)C,9
79,a79,C,Nitrile,N#[C-],N#C,9.1
80,a80,C,Alkene,C=[N+]=[N-],C[N+]#N,10
81,a81,C,Alkane,C1([CH-]C(=O)C2)=C2C=CC=C1,C1(CC(=O)C2)=C2C=CC=C1,12.2
82,a82,C,Alkane,CCOC(=O)[CH-]C(=O)OCC,CCOC(=O)CC(=O)OCC,12.9
83,a83,C,Alkane,C1=CC=CC=C([CH-]C=O)1,C1=CC=CC=C(CC=O)1,13.1
84,a84,C,Alkane,C1=CC=C[CH-]1,C1=CC=CC1,15
85,a85,C,Alkane,[C-](C)(C)C=O,C(C)(C)C=O,15.5
86,a86,C,Alkane,[CH2-]C=O,CC=O,16.7
87,a87,C,Alkane,[CH2-]C(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=C1,18.3
88,a88,C,Alkane,[CH2-]C(=O)C,CC(=O)C,19.3
89,a89,C,Alkane,C1([CH-]C=C2)=C2C=CC=C1,C1(CC=C2)=C2C=CC=C1,20
