,Identifier,Atom Centres,Functional Group,Formal Charge,Aqueous pKa,Protonated Elec En (Eh),Unprotonated Elec En (Eh),Elec En Diff (Eh)
0,a77,C,Alkane,-1,6.5,-834.3209268490956,-833.857242446638,-0.4636844024576021
1,a26,O,Alcohol,-1,8.0,-384.4231353344791,-383.93221359961836,-0.4909217348607626
2,a84,C,Alkane,-1,15.0,-193.86482737455776,-193.38054878606567,-0.4842785884920886
3,a12,O,Nitro,-1,-1.4,-280.5632645198396,-280.1144260871246,-0.4488384327149788
4,a43,N,Amine,0,0.8,-518.4793291230176,-518.0562476163904,-0.4230815066272271
5,a53,N,Amine,0,9.2,-56.932575808459255,-56.477963618920974,-0.4546121895382811
6,a36,O,Alcohol,-1,20.0,-233.38138520305145,-232.84372555800462,-0.5376596450468298
7,a67,X,Halide,-1,-9.8,-2574.485746687318,-2574.059485405151,-0.42626128216716097
8,a47,N,Imine,0,5.2,-248.43626410137122,-247.99239536604347,-0.4438687353277544
9,a16,O,Carbonyl,0,-0.2,-287.91697073792267,-287.4829482139473,-0.4340225239753863
10,a22,O,CarboxylicAcid,-1,4.8,-228.82199512884515,-228.3364019735374,-0.48559315530775393
11,a73,C,Alkene,0,-12.5,-157.41701347679353,-157.01663698751318,-0.4003764892803474
12,a80,C,Alkene,0,10.0,-149.0025195468745,-148.56212076071208,-0.440398786162433
13,a63,N,Amine,-1,15.0,-209.92973572497144,-209.4255550969822,-0.5041806279892285
14,a32,O,Peroxide,-1,11.7,-151.36317959235996,-150.83270556391167,-0.5304740284482818
15,a4,S,Thiol,0,-5.4,-478.1667094490283,-477.7598949429031,-0.4068145061252153
16,a57,N,Amine,0,10.7,-292.492737812447,-292.0334109189453,-0.4593268935016681
17,a46,N,Amine,0,4.6,-287.70055664685543,-287.26946396289856,-0.4310926839568765
18,a17,O,Carbonyl,0,-0.1,-382.46752644446985,-382.0313091580434,-0.43621728642642665
19,a23,O,CarboxylicAcid,-1,6.3,-264.7171199583701,-264.2433375625515,-0.4737823958186027
20,a72,C,Alkene,0,-18.5,-118.128547839147,-117.74781276137723,-0.38073507776977067
21,a81,C,Alkane,-1,12.2,-422.51274428423653,-422.0211424369376,-0.49160184729890943
22,a62,N,Imine,0,13.6,-362.62915813700675,-362.151937077033,-0.47722105997377184
23,a33,O,Phosphoryl,-3,12.1,-642.7156155830293,-642.1462883788332,-0.5693272041960427
24,a5,S,Thioether,0,-4.4,-555.4999055925846,-555.09556854439,-0.404337048194634
25,a56,N,Amine,0,10.6,-135.4550871520529,-134.9948912915022,-0.46019586055069794
26,a76,C,Alkane,-1,5.3,-940.1949488385171,-939.7516827867756,-0.4432660517414888
27,a27,O,Alcohol,-1,10.0,-307.11611514866354,-306.62533524994103,-0.4907798987225078
28,a85,C,Alkane,-1,15.5,-232.17030946618806,-231.65837964403923,-0.5119298221488293
29,a13,O,Carbonyl,0,-1.1,-248.64036174739454,-248.21478336364598,-0.42557838374855805
30,a42,N,Imine,0,-2.9,-572.5181490190548,-572.0944089962171,-0.4237400228377055
31,a1,O,Nitro,0,-12.4,-436.62377867281293,-436.2465569200534,-0.3772217527595103
32,a52,N,Imine,0,9.2,-303.7554707568419,-303.29711505237157,-0.45835570447030705
33,a37,P,Phosphine,0,-14.0,-343.413407760183,-343.0044174520697,-0.4089903081133457
34,a66,X,Halide,-1,-10.3,-298.21652107370915,-297.81036541626116,-0.4061556574479823
35,a18,O,Alcohol,-1,0.3,-919.9248826801391,-919.4776054349751,-0.4472772451640594
36,a49,N,Amine,0,7.9,-227.58885565535132,-227.1444787730057,-0.44437688234563666
37,a59,N,Amine,0,11.1,-252.04683785411927,-251.58971215185161,-0.45712570226766047
38,a28,O,CarboxylicAcid,-2,10.3,-264.2433699471989,-263.69790874790647,-0.545461199292447
39,a79,C,Nitrile,-1,9.1,-93.31845772274251,-92.84107640129213,-0.47738132145038037
40,a69,X,Halide,-1,3.2,-100.32379042675453,-99.79866770394219,-0.5251227228123412
41,a38,N,Nitrile,0,-10.5,-324.5105173673099,-324.1182832609342,-0.3922341063756676
42,a29,S,Thiol,-1,10.5,-477.7641213772774,-477.27155417264794,-0.49256720462943804
43,a78,C,Alkane,-1,9.0,-345.38296338503915,-344.9031490198847,-0.4798143651544251
44,a68,X,Halide,-1,-7.3,-460.64058288638864,-460.18794644099574,-0.4526364453928977
45,a39,N,Nitrile,0,-10.0,-132.99332806627183,-132.59767682250612,-0.3956512437657125
46,a19,O,Phosphoryl,-1,2.2,-643.6949065694374,-643.2307624281523,-0.46414414128514636
47,a48,N,Imine,0,7.0,-226.41838905195914,-225.96598828756856,-0.45240076439057475
48,a58,N,Amine,0,11.0,-213.97096046945802,-213.51527541463415,-0.4556850548238742
49,a88,C,Alkane,-1,19.3,-192.91696332618278,-192.39634562266698,-0.5206177035157964
50,a8,O,Sulphate,-1,-2.6,-663.8558398272563,-663.4062425726175,-0.44959725463877476
51,a9,O,Alcohol,0,-2.2,-115.98034028136097,-115.5757333825016,-0.4046068988593703
52,a89,C,Alkane,-1,20.0,-347.35457233235934,-346.86514167691723,-0.4894306554421064
53,a14,O,Phosphoryl,0,-1.0,-820.0789065057412,-819.6388341393367,-0.440072366404479
54,a45,P,Phosphine,0,2.7,-1035.8069059684944,-1035.37715247477,-0.4297534937245473
55,a82,C,Alkane,-1,12.9,-574.2225445813847,-573.7369079207984,-0.48563666058623767
56,a71,C,Alkene,0,-24.3,-232.33717298687353,-231.97086106742654,-0.3663119194469857
57,a20,O,Selenoxide,0,2.6,-2556.5225171145917,-2556.072095825647,-0.4504212889446535
58,a30,O,Alcohol,-1,10.5,-153.62536234314746,-153.12783338579928,-0.49752895734818026
59,a61,N,Amine,0,12.3,-653.4735217572824,-653.039394168373,-0.43412758890940495
60,a55,N,Nitrile,0,10.0,-109.71363044843278,-109.40227278906649,-0.3113576593662941
61,a6,O,Ether,0,-3.8,-155.2328050463625,-154.82702999923077,-0.4057750471317263
62,a86,C,Alkane,-1,16.7,-153.64211848841902,-153.12785260004026,-0.514265888378759
63,a24,S,Thiol,-1,6.5,-630.0261490039265,-629.5583436886869,-0.467805315239616
64,a75,C,Alkane,-1,5.2,-461.98722006387374,-461.5135386741143,-0.47368138975946295
65,a41,N,Amine,0,-5.0,-749.2509898138159,-748.8396258721978,-0.41136394161810586
66,a10,O,Ether,0,-2.1,-232.57347918642841,-232.16371897931216,-0.40976020711624983
67,a51,P,Phosphine,0,9.1,-579.037668479189,-578.5910120095862,-0.4466564696028854
68,a2,O,CarboxylicAcid,0,-7.8,-420.7470569391298,-420.34967089055476,-0.39738604857501514
69,a65,N,Amine,-1,30.0,-873.3459464853753,-872.8186223552854,-0.5273241300899372
70,a34,O,Water,-1,14.0,-76.32979375514094,-75.7666702694454,-0.5631234856955416
71,a87,C,Alkane,-1,18.3,-384.44510855190003,-383.9325225512929,-0.5125860006071434
72,a25,O,Phosphoryl,-2,7.1,-643.2307624281524,-642.7155764089163,-0.5151860192361255
73,a74,C,Alkane,-1,3.6,-448.9710270902074,-448.5183821685296,-0.45264492167774506
74,a40,N,Amine,0,-9.3,-900.4805962076194,-900.0909326973265,-0.3896635102929622
75,a11,O,Sulphoxide,0,-1.5,-553.2859866174391,-552.8467233095489,-0.43926330789020085
76,a50,N,Amine,0,8.5,-287.8905810155392,-287.4492514649997,-0.4413295505395354
77,a3,O,Ether,0,-6.5,-346.74643930534916,-346.36405374347925,-0.3823855618699099
78,a64,N,Amine,-1,28.0,-287.2694451270318,-286.7471161546241,-0.5223289724077063
79,a35,O,Alcohol,-1,16.0,-115.57572968640022,-115.0360857862406,-0.5396439001596178
80,a15,O,CarboxylicAcid,-1,-0.3,-526.2265840374148,-525.7676925613252,-0.4588914760895477
81,a44,P,Phsophine,0,2.7,-382.6929295240639,-382.2692520444825,-0.4236774795813858
82,a83,C,Alkane,-1,13.1,-384.4312910060165,-383.9358449537593,-0.49544605225725036
83,a70,C,Alkene,0,-24.8,-78.8420811220666,-78.47976546759796,-0.3623156544686452
84,a21,O,CarboxylicAcid,-1,4.2,-420.3496755250131,-419.8737980645405,-0.4758774604725886
85,a31,O,Alcohol,-1,10.9,-192.8963354371173,-192.3963615859485,-0.49997385116878945
86,a60,N,Nitroso,-1,11.5,-130.31753906896716,-129.77150336538529,-0.5460357035818788
87,a54,N,Amine,0,9.4,-326.9690701138922,-326.5202123326722,-0.4488577812199992
88,a7,O,Carbonyl,0,-3.1,-193.3254709387999,-192.91700172817855,-0.4084692106213481
