,Identifier,Atom Centres,Functional Group,Formal Charge,Aqueous pKa,Protonated Elec En (Eh),Unprotonated Elec En (Eh),Elec En Diff (Eh)
0,a59,N,Amine,0,11.1,-252.2428835504,-251.872875700411,-0.37000784998900826
1,a65,N,Amine,-1,30.0,-873.883013184129,-873.315950751327,-0.567062432802004
2,a71,C,Alkene,0,-24.3,-232.523538736187,-232.227738311574,-0.2958004246129917
3,a70,C,Alkene,0,-24.8,-78.840263175185,-78.570586947929,-0.2696762272559994
4,a64,N,Amine,-1,28.0,-287.595692914549,-286.999855576265,-0.5958373382839568
5,a58,N,Amine,0,11.0,-214.122325479454,-213.754522213064,-0.3678032663899842
6,a72,C,Alkene,0,-18.5,-118.178200209473,-117.879785296449,-0.29841491302400414
7,a66,X,Halide,-1,-10.3,-298.279376624597,-297.778446782423,-0.5009298421740027
8,a67,X,Halide,-1,-9.8,-2574.604752814182,-2574.095684375038,-0.5090684391439027
9,a73,C,Alkene,0,-12.5,-157.507202530533,-157.190683712978,-0.3165188175549929
10,a77,C,Alkane,-1,6.5,-835.351928189188,-834.833171415468,-0.5187567737200425
11,a63,N,Amine,-1,15.0,-210.165693276869,-209.585830281385,-0.5798629954840067
12,a88,C,Alkane,-1,19.3,-193.14631150651,-192.549337939881,-0.596973566628975
13,a89,C,Alkane,-1,20.0,-347.741881191888,-347.174144002083,-0.5677371898050296
14,a62,N,Imine,0,13.6,-362.96008653513,-362.565258075094,-0.3948284600360239
15,a76,C,Alkane,-1,5.3,-941.411760357611,-940.925285723208,-0.4864746344029527
16,a60,N,Nitroso,-1,11.5,-130.495723776579,-129.856490639562,-0.6392331370170155
17,a74,C,Alkane,-1,3.6,-449.567573663309,-449.063358572641,-0.5042150906680263
18,a48,N,Imine,0,7.0,-226.588771173767,-226.223437163501,-0.36533401026599677
19,a49,N,Amine,0,7.9,-227.752926026757,-227.413994706478,-0.33893132027898787
20,a75,C,Alkane,-1,5.2,-462.537553372884,-461.995434445799,-0.5421189270850277
21,a61,N,Amine,0,12.3,-654.136178070506,-653.762940788431,-0.37323728207502427
22,a12,O,Nitro,-1,-1.4,-280.94749768227,-280.435707650006,-0.5117900322640025
23,a13,O,Carbonyl,0,-1.1,-248.844118401454,-248.501067031369,-0.3430513700850213
24,a39,N,Nitrile,0,-10.0,-133.063858973634,-132.754645920077,-0.30921305355701634
25,a11,O,Sulphoxide,0,-1.5,-553.545228213585,-553.205966335818,-0.33926187776705774
